"","monthyear","X","month","count","number_sharks","count_tag","Boat_station_freq","year","stations","standard1","standard2","actual_hours","total_number_sharks","O","P","potential","sharks_study","standard2.2","standard1.2"
"28","2016-04",29,4,140,57,121,186,2016,93,0.00622056340531414,0.00198801510891483,582,2888,0.00198801510891483,0.0410099116753287,0.0484764542936288,"147",0.00163639338897071,0.00512032770097286
"29","2016-05",30,5,161,67,146,192,2016,93,0.00574343607305936,0.00266362252663623,414,3613,0.00266362252663623,0.0597743365760042,0.0445613063935787,"128",0.00303819444444444,0.00655110677083333
"30","2016-06",31,6,4,3,147,6,2016,93,0.00453514739229025,8.95094880057286e-05,304,2282,8.95094880057286e-05,0.0510651629072682,0.00175284837861525,"130",0.000101214574898785,0.00512820512820513
"31","2017-06",32,6,118,30,106,227,2017,89,0.00490399800515335,0.00212850391428262,523,1421,0.00212850391428262,0.025632237815217,0.0830401125967628,"50",0.00451242829827916,0.0103964757709251
"32","2017-07",33,7,175,34,106,289,2017,89,0.00571260690735784,0.00289131943297095,571,1809,0.00289131943297095,0.029887982024254,0.0967385295743505,"53",0.00578263886594191,0.0114252138147157
"33","2017-08",34,8,214,35,104,187,2017,89,0.0110037021801728,0.00573173344761089,359,1781,0.00573173344761089,0.0477019498607242,0.120157215047726,"48",0.0124187558031569,0.0238413547237077
"34","2017-09",35,9,82,27,103,121,2017,89,0.00657947524673032,0.00154886479543652,514,1987,0.00154886479543652,0.0375316383967361,0.0412682435832914,"51",0.00312809948882277,0.013287959812024
"35","2017-10",36,10,80,25,99,172,2017,89,0.00469814423302795,0.00193784366446237,417,1520,0.00193784366446237,0.036819029624785,0.0526315789473684,"48",0.00399680255795364,0.00968992248062015
"36","2017-11",37,11,65,22,94,190,2017,89,0.00363941769316909,0.00134531004222204,514,1339,0.00134531004222204,0.027713386869774,0.0485436893203883,"49",0.00258079885650758,0.00698174006444683
"37","2017-12",38,12,62,13,90,299,2017,89,0.0023039762170197,0.00117557830868411,586,985,0.00117557830868411,0.0186765263557072,0.0629441624365482,"39",0.00271287302004026,0.00531686819312237
"38","2018-02",39,2,16,5,89,463,2018,56,0.000388283544058048,0.000296658879371083,606,69,0.000296658879371083,0.0012793414172878,0.231884057971014,"6",0.0044004400440044,0.00575953923686105
"39","2018-03",40,3,197,17,100,557,2018,56,0.00353680430879713,0.0026729986431479,737,7990,0.0026729986431479,0.108412483039349,0.0246558197747184,"127",0.00210472334106134,0.00278488528251742
"40","2018-04",41,4,1212,95,147,491,2018,56,0.0167920528700278,0.0143389529724933,575,13053,0.0143389529724933,0.154427684117125,0.0928522178809469,"132",0.0159683794466403,0.0187002406961674
"41","2018-05",42,5,368,52,144,467,2018,56,0.00547228170354509,0.00361464717900361,707,19958,0.00361464717900361,0.196035674996071,0.018438721314761,"124",0.00419765478852033,0.00635490778476204
"42","2018-06",43,6,729,40,138,473,2018,56,0.0111683059104697,0.00909226969991768,581,14834,0.00909226969991768,0.185013345306693,0.0491438587029796,"120",0.0104561101549053,0.0128435517970402
"43","2018-08",44,8,68,23,133,50,2018,56,0.0102255639097744,0.00218494955337061,234,4363,0.00218494955337061,0.140190219137588,0.0155856062342425,"114",0.00254910781226571,0.0119298245614035
"44","2018-09",45,9,106,41,128,289,2018,56,0.00286548442906574,0.00147615864527629,561,10565,0.00147615864527629,0.147128453654189,0.0100331282536678,"114",0.00165744128592426,0.00321738602561768
"45","2018-10",46,10,120,46,120,185,2018,56,0.00540540540540541,0.00255754475703325,391,8535,0.00255754475703325,0.18190537084399,0.0140597539543058,"108",0.00284171639670361,0.00600600600600601
"46","2018-11",47,11,406,60,114,272,2018,56,0.013093395252838,0.00708032506714101,503,8315,0.00708032506714101,0.145007150081964,0.0488274203247144,"96",0.00840788601722995,0.0155484068627451
"47","2018-12",48,12,151,46,112,289,2018,56,0.00466510133465151,0.00215026201868307,627,9758,0.00215026201868307,0.138955342902711,0.0154744824759172,"93",0.00258956286120972,0.0056181865535588
"48","2019-01",49,1,216,46,109,173,2019,56,0.0114546322320624,0.00342846258848925,578,9541,0.00342846258848925,0.151439636836926,0.0226391363588722,"101",0.00370002398163692,0.012361929834602
"49","2019-02",50,2,129,44,98,111,2019,56,0.0118587975730833,0.0026014358312495,506,7594,0.0026014358312495,0.153141889166734,0.0169870950750593,"101",0.00252416546002426,0.0115065560610115
"50","2019-03",51,3,331,46,55,401,2019,56,0.0150079347086828,0.00980159905241339,614,5328,0.00980159905241339,0.157773171453953,0.0621246246246246,"93",0.00579664460088964,0.00887566031158663
"51","2019-04",52,4,2,2,7,370,2019,56,0.000772200772200772,0.000457875457875458,624,62,0.000457875457875458,0.0141941391941392,0.032258064516129,"7",0.000457875457875458,0.000772200772200772
"52","2019-04",52,4,2,2,7,370,2019,56,0.000772200772200772,0.000457875457875458,624,65,0.000457875457875458,0.0148809523809524,0.0307692307692308,"7",0.000457875457875458,0.000772200772200772
